dateRep	Dead
1/1/2020	307
1/2/2020	283
1/3/2020	278
1/4/2020	289
1/5/2020	282
1/6/2020	288
1/7/2020	287
1/8/2020	281
1/9/2020	246
1/10/2020	261
1/11/2020	276
1/12/2020	257
1/13/2020	261
1/14/2020	269
1/15/2020	291
1/16/2020	267
1/17/2020	269
1/18/2020	268
1/19/2020	257
1/20/2020	267
1/21/2020	262
1/22/2020	273
1/23/2020	254
1/24/2020	281
1/25/2020	270
1/26/2020	297
1/27/2020	240
1/28/2020	241
1/29/2020	260
1/30/2020	277
1/31/2020	252
2/1/2020	283
2/2/2020	251
2/3/2020	297
2/4/2020	300
2/5/2020	292
2/6/2020	257
2/7/2020	246
2/8/2020	272
2/9/2020	275
2/10/2020	289
2/11/2020	265
2/12/2020	275
2/13/2020	279
2/14/2020	270
2/15/2020	229
2/16/2020	260
2/17/2020	235
2/18/2020	255
2/19/2020	300
2/20/2020	268
2/21/2020	272
2/22/2020	280
2/23/2020	249
2/24/2020	245
2/25/2020	285
2/26/2020	248
2/27/2020	248
2/28/2020	265
2/29/2020	270
3/1/2020	275
3/2/2020	269
3/3/2020	231
3/4/2020	260
3/5/2020	261
3/6/2020	257
3/7/2020	247
3/8/2020	222
3/9/2020	245
3/10/2020	247
3/11/2020	258
3/12/2020	273
3/13/2020	264
3/14/2020	267
3/15/2020	301
3/16/2020	247
3/17/2020	268
3/18/2020	232
3/19/2020	262
3/20/2020	233
3/21/2020	235
3/22/2020	244
3/23/2020	233
3/24/2020	242
3/25/2020	244
3/26/2020	272
3/27/2020	220
3/28/2020	218
3/29/2020	258
3/30/2020	259
3/31/2020	243
4/1/2020	234
4/2/2020	245
4/3/2020	254
4/4/2020	260
4/5/2020	266
4/6/2020	227
4/7/2020	261
4/8/2020	242
4/9/2020	218
4/10/2020	234
4/11/2020	233
4/12/2020	242
4/13/2020	262
4/14/2020	230
4/15/2020	263
4/16/2020	247
4/17/2020	256
4/18/2020	238
4/19/2020	275
4/20/2020	253
4/21/2020	253
4/22/2020	239
4/23/2020	247
4/24/2020	262
4/25/2020	262
4/26/2020	248
4/27/2020	252
4/28/2020	237
4/29/2020	232
4/30/2020	224
5/1/2020	251
5/2/2020	256
5/3/2020	213
5/4/2020	248
5/5/2020	238
5/6/2020	246
5/7/2020	239
5/8/2020	236
5/9/2020	256
5/10/2020	242
5/11/2020	240
5/12/2020	233
5/13/2020	222
5/14/2020	224
5/15/2020	232
5/16/2020	227
5/17/2020	215
5/18/2020	231
5/19/2020	255
5/20/2020	211
5/21/2020	215
5/22/2020	226
5/23/2020	197
5/24/2020	237
5/25/2020	240
5/26/2020	209
5/27/2020	231
5/28/2020	225
5/29/2020	246
5/30/2020	230
5/31/2020	218
6/1/2020	244
6/2/2020	196
6/3/2020	253
6/4/2020	228
6/5/2020	251
6/6/2020	208
6/7/2020	207
6/8/2020	221
6/9/2020	225
6/10/2020	210
6/11/2020	209
6/12/2020	194
6/13/2020	205
6/14/2020	236
6/15/2020	225
6/16/2020	214
6/17/2020	235
6/18/2020	214
6/19/2020	240
6/20/2020	232
6/21/2020	209
6/22/2020	236
6/23/2020	209
6/24/2020	199
6/25/2020	234
6/26/2020	233
6/27/2020	220
6/28/2020	227
6/29/2020	215
6/30/2020	233
7/1/2020	233
7/2/2020	211
7/3/2020	219
7/4/2020	218
7/5/2020	225
7/6/2020	228
7/7/2020	252
7/8/2020	212
7/9/2020	204
7/10/2020	207
7/11/2020	248
7/12/2020	254
7/13/2020	244
7/14/2020	238
7/15/2020	228
7/16/2020	217
7/17/2020	225
7/18/2020	214
7/19/2020	223
7/20/2020	224
7/21/2020	200
7/22/2020	206
7/23/2020	187
7/24/2020	232
7/25/2020	211
7/26/2020	236
7/27/2020	268
7/28/2020	223
7/29/2020	196
7/30/2020	225
7/31/2020	232
8/1/2020	236
8/2/2020	220
8/3/2020	229
8/4/2020	202
8/5/2020	223
8/6/2020	238
8/7/2020	245
8/8/2020	221
8/9/2020	220
8/10/2020	240
8/11/2020	210
8/12/2020	244
8/13/2020	197
8/14/2020	211
8/15/2020	212
8/16/2020	234
8/17/2020	215
8/18/2020	222
8/19/2020	213
8/20/2020	237
8/21/2020	211
8/22/2020	226
8/23/2020	238
8/24/2020	234
8/25/2020	232
8/26/2020	230
8/27/2020	248
8/28/2020	233
8/29/2020	234
8/30/2020	242
8/31/2020	249
9/1/2020	255
9/2/2020	217
9/3/2020	211
9/4/2020	210
9/5/2020	229
9/6/2020	189
9/7/2020	215
9/8/2020	219
9/9/2020	240
9/10/2020	208
9/11/2020	227
9/12/2020	236
9/13/2020	206
9/14/2020	235
9/15/2020	256
9/16/2020	226
9/17/2020	237
9/18/2020	227
9/19/2020	218
9/20/2020	241
9/21/2020	226
9/22/2020	214
9/23/2020	244
9/24/2020	233
9/25/2020	245
9/26/2020	237
9/27/2020	253
9/28/2020	221
9/29/2020	264
9/30/2020	245
10/1/2020	254
10/2/2020	237
10/3/2020	245
10/4/2020	234
10/5/2020	231
10/6/2020	241
10/7/2020	219
10/8/2020	262
10/9/2020	236
10/10/2020	278
10/11/2020	240
10/12/2020	256
10/13/2020	212
10/14/2020	239
10/15/2020	225
10/16/2020	267
10/17/2020	246
10/18/2020	221
10/19/2020	240
10/20/2020	233
10/21/2020	224
10/22/2020	289
10/23/2020	256
10/24/2020	257
10/25/2020	247
10/26/2020	250
10/27/2020	250
10/28/2020	254
10/29/2020	231
10/30/2020	234
10/31/2020	247
11/1/2020	228
11/2/2020	243
11/3/2020	250
11/4/2020	242
11/5/2020	241
11/6/2020	241
11/7/2020	248
11/8/2020	280
11/9/2020	252
11/10/2020	243
11/11/2020	245
11/12/2020	254
11/13/2020	256
11/14/2020	255
11/15/2020	258
11/16/2020	221
11/17/2020	234
11/18/2020	253
11/19/2020	245
11/20/2020	270
11/21/2020	220
11/22/2020	271
11/23/2020	271
11/24/2020	231
11/25/2020	248
11/26/2020	257
11/27/2020	252
11/28/2020	250
11/29/2020	259
11/30/2020	225
12/1/2020	246
12/2/2020	242
12/3/2020	253
12/4/2020	275
12/5/2020	280
12/6/2020	242
12/7/2020	250
12/8/2020	238
12/9/2020	264
12/10/2020	234
12/11/2020	263
12/12/2020	291
12/13/2020	245
12/14/2020	255
12/15/2020	216
12/16/2020	255
12/17/2020	226
12/18/2020	273
12/19/2020	271
12/20/2020	286
12/21/2020	303
12/22/2020	261
12/23/2020	258
12/24/2020	264
12/25/2020	254
12/26/2020	273
12/27/2020	245
12/28/2020	222
12/29/2020	251
12/30/2020	233
12/31/2020	253
